task,sub,condition,a,v,t,st,alpha
flanker,7362,congruent,2.1682687,3.1138248,0.29363146,0.14619608,1.3395382
flanker,7363,congruent,1.7750155,3.2770052,0.22128965,0.10881909,1.3536816
flanker,7364,congruent,2.0243087,3.3615346,0.18401703,0.11835696,1.2384573
flanker,7365,congruent,2.405035,3.701964,0.23792683,0.122590564,1.4508506
flanker,7366,congruent,2.4451938,4.063384,0.20789078,0.11881871,1.3306751
flanker,7367,congruent,1.9765012,4.098592,0.21792194,0.10000495,1.3733654
flanker,7368,congruent,2.3688288,3.2660787,0.22375844,0.12707588,1.3874539
flanker,7369,congruent,1.9513428,2.6372223,0.17046063,0.12197294,1.2275879
flanker,7370,congruent,2.3482525,3.8759716,0.22314125,0.124070734,1.4165857
flanker,7371,congruent,2.460641,3.6105042,0.23167087,0.13394892,1.4392889
flanker,7372,congruent,2.049725,4.3837795,0.22798145,0.10195989,1.3854527
flanker,7373,congruent,2.0790358,4.188637,0.2219144,0.10355061,1.4249377
flanker,7374,congruent,2.3542566,4.3046517,0.24833983,0.11145184,1.3523015
flanker,7375,congruent,1.8595562,2.8599555,0.23153096,0.1291441,1.3515745
flanker,7376,congruent,2.5039978,5.0013676,0.24887796,0.10321138,1.4431146
flanker,7377,congruent,2.0258698,4.268864,0.20643367,0.09536945,1.3840694
flanker,7378,congruent,1.8973026,5.0845423,0.20427361,0.0855703,1.3519977
flanker,7379,congruent,2.0910132,3.371776,0.20458405,0.11768226,1.3779354
flanker,7380,congruent,2.3753066,4.134035,0.2497627,0.119394936,1.4424549
flanker,7381,congruent,2.1521473,3.2115893,0.20308319,0.12142162,1.4296777
