task,sub,condition,a,v,t,st,alpha
sternberg,subject10,s5,2.9226696,1.5756044,0.7280853,0.40761656,1.3669965
sternberg,subject100,s5,2.6845229,2.800976,0.56725764,0.2022714,1.3901519
sternberg,subject101,s5,2.6711726,4.122348,0.3106741,0.14529319,1.4386829
sternberg,subject102,s5,3.1556566,3.1843822,0.48674908,0.18482852,1.529104
sternberg,subject103,s5,2.8443236,3.497255,0.34281334,0.16852687,1.4614497
sternberg,subject104,s5,2.669678,3.5270844,0.38224363,0.1673513,1.3638932
sternberg,subject105,s5,3.726079,3.1476061,0.47262907,0.20369126,1.5227785
sternberg,subject106,s5,2.8661165,1.4797478,0.68021977,0.28852788,1.4549342
sternberg,subject107,s5,2.893585,4.309004,0.32165533,0.13986263,1.458092
sternberg,subject108,s5,3.3391967,2.7448149,0.3829557,0.23657654,1.4779614
sternberg,subject109,s5,2.970437,3.7225385,0.37022632,0.18286704,1.4058896
sternberg,subject11,s5,3.0575798,2.6151795,0.33571297,0.2003361,1.4972596
sternberg,subject110,s5,2.5097158,3.816066,0.23673342,0.124847434,1.4272869
sternberg,subject111,s5,2.5902276,3.2944202,0.2747962,0.14696681,1.5037361
sternberg,subject112,s5,3.0728974,1.8522081,0.37748763,0.19623052,1.5060062
sternberg,subject113,s5,2.3479555,3.8169866,0.40893617,0.15763536,1.2474396
sternberg,subject114,s5,3.0800464,3.3268485,0.30588475,0.15693925,1.4905704
sternberg,subject115,s5,2.9290857,2.7905147,0.3072151,0.15251721,1.5685819
sternberg,subject116,s5,3.1476498,3.0052574,0.43288133,0.22402376,1.4067957
sternberg,subject117,s5,2.9010122,2.122986,0.6228963,0.22621386,1.4410343
sternberg,subject118,s5,2.7974107,3.9863653,0.32304937,0.14400783,1.439503
sternberg,subject119,s5,3.36622,2.285458,0.36026716,0.19922459,1.5373602
sternberg,subject12,s5,2.0035675,2.7527385,0.28937703,0.19198786,1.3629043
sternberg,subject120,s5,2.7412503,4.0786743,0.3351115,0.15697974,1.4491537
sternberg,subject121,s5,2.0872576,2.4511838,0.3751504,0.16007866,1.3460323
sternberg,subject122,s5,2.469424,2.292925,0.2702172,0.15671289,1.4426441
sternberg,subject123,s5,2.0768838,2.3178778,0.33285683,0.19875087,1.2445931
sternberg,subject124,s5,3.0317678,3.7024105,0.3245759,0.15980959,1.4360555
sternberg,subject125,s5,2.4243429,2.1716843,0.33485174,0.1657567,1.472903
sternberg,subject126,s5,2.7598553,1.8059288,0.35916176,0.19588886,1.5377294
sternberg,subject127,s5,2.9215136,2.8708432,0.3934693,0.1978226,1.4208827
sternberg,subject128,s5,2.792632,4.81297,0.34099114,0.13256927,1.453437
sternberg,subject129,s5,3.24191,2.9020135,0.441668,0.24315263,1.4328237
sternberg,subject13,s5,2.2245204,4.46766,0.2950998,0.10990399,1.298392
sternberg,subject130,s5,2.630221,3.730366,0.37407535,0.16845885,1.4285929
sternberg,subject131,s5,2.783063,4.138844,0.3475343,0.15991005,1.5162439
sternberg,subject132,s5,2.610781,3.0044773,0.29654577,0.16069621,1.405675
sternberg,subject133,s5,2.213854,2.2285562,0.33544374,0.16909605,1.4223704
sternberg,subject134,s5,2.9802396,3.3567908,0.48967844,0.218379,1.3128974
sternberg,subject14,s5,2.157477,1.1352804,0.3553617,0.18561876,1.4370812
sternberg,subject15,s5,2.8132987,3.1253767,0.35250163,0.19696851,1.4117794
sternberg,subject16,s5,2.6399965,2.7014687,0.34497756,0.17493454,1.4358865
sternberg,subject17,s5,2.8170323,3.6633124,0.37076756,0.17307836,1.465867
sternberg,subject18,s5,2.7027025,4.0758524,0.45480722,0.15410727,1.4092344
sternberg,subject19,s5,2.9353733,2.9876008,0.31496722,0.16027653,1.5106254
sternberg,subject2,s5,2.269351,2.2861242,0.3953693,0.18992841,1.366255
sternberg,subject20,s5,2.5906315,3.2963507,0.32859248,0.1761983,1.39458
sternberg,subject21,s5,3.2686372,3.123733,0.5915915,0.2656421,1.4510219
sternberg,subject22,s5,2.732812,2.8992162,0.33013925,0.20604676,1.2712485
sternberg,subject23,s5,3.5285428,1.816925,0.5895745,0.43127078,1.451367
sternberg,subject24,s5,2.5213492,3.2644958,0.27682436,0.13517877,1.4832761
sternberg,subject25,s5,3.0173237,3.2390208,0.33409023,0.16664152,1.4986876
sternberg,subject26,s5,3.4939144,2.2435045,0.35024363,0.19696686,1.5554252
sternberg,subject27,s5,3.1060674,3.3758225,0.56227577,0.22128165,1.3298388
sternberg,subject28,s5,2.4868033,4.102009,0.29196987,0.12859699,1.4670613
sternberg,subject29,s5,2.4804692,3.6986418,0.37960017,0.16119245,1.3660495
sternberg,subject3,s5,2.9014964,3.0529764,0.4395288,0.21123637,1.3511795
sternberg,subject30,s5,2.1051826,4.136801,0.2799758,0.119361445,1.3661036
sternberg,subject31,s5,2.8342326,3.3221571,0.3239506,0.15168403,1.3682351
sternberg,subject32,s5,2.9193873,3.6087954,0.4533107,0.2025816,1.3170856
sternberg,subject33,s5,2.7959793,1.9632849,0.8667517,0.33722493,1.2061169
sternberg,subject34,s5,2.0038211,4.189052,0.30192846,0.12760824,1.3377534
sternberg,subject35,s5,2.918721,2.6759486,0.40458238,0.17268772,1.4602895
sternberg,subject36,s5,2.2704928,3.316709,0.36422762,0.19630133,1.2957075
sternberg,subject37,s5,2.4412768,2.8422663,0.3275431,0.17265722,1.3202697
sternberg,subject38,s5,2.3382778,2.5552566,0.3717465,0.18416844,1.3829039
sternberg,subject39,s5,2.964215,1.9522781,0.3652087,0.16338038,1.5851636
